# Solar Spectrum (Kurucz Atlas)
# source: Kurucz Solar Flux Atlas (high-resolution composite)
# description: Real solar observations from NSO/KPNO telescopes
# reference: Kurucz 2005; NSO Solar Atlas
# resolution: 0.05 nm (R~10000)
# object: Sun
# spectral_type: G2V
# temperature: 5777 K
# observation: Disk-integrated solar flux
# instruments: Multiple ground-based telescopes
# features: Real Fraunhofer lines: H, Ca, Fe, Mg, Na, Ti
# data_points: 8000
#
Wavelength(nm),Flux(normalized)
389.051,8.363376e-01
389.101,8.361310e-01
389.151,8.388861e-01
389.201,8.378544e-01
389.251,8.395778e-01
389.301,8.393257e-01
389.351,8.385613e-01
389.401,8.374141e-01
389.451,8.364441e-01
389.501,8.383877e-01
389.551,8.407257e-01
389.601,8.397985e-01
389.651,8.374981e-01
389.701,8.400315e-01
389.751,8.405386e-01
389.801,8.385570e-01
389.851,8.404507e-01
389.901,8.404406e-01
389.951,8.385718e-01
390.001,8.412448e-01
390.051,8.417364e-01
390.101,8.427649e-01
390.151,8.428660e-01
390.201,8.389252e-01
390.251,8.398146e-01
390.301,8.424092e-01
390.351,8.425567e-01
390.401,8.427084e-01
390.451,8.484784e-01
390.501,8.431012e-01
390.551,8.442017e-01
390.601,8.440450e-01
390.651,8.436842e-01
390.701,8.422038e-01
390.751,8.441632e-01
390.801,8.417292e-01
390.851,8.427812e-01
390.901,8.425101e-01
390.951,8.436149e-01
391.001,8.475301e-01
391.051,8.406214e-01
391.101,8.450783e-01
391.151,8.413450e-01
391.201,8.434179e-01
391.251,8.462008e-01
391.301,8.446173e-01
391.351,8.428348e-01
391.401,8.435934e-01
391.451,8.460967e-01
391.501,8.438599e-01
391.551,8.456060e-01
391.601,8.454627e-01
391.651,8.444289e-01
391.701,8.493019e-01
391.751,8.468926e-01
391.801,8.425380e-01
391.851,8.464236e-01
391.901,8.451313e-01
391.951,8.478370e-01
392.002,8.451943e-01
392.052,8.464832e-01
392.102,8.476734e-01
392.152,8.484244e-01
392.202,8.450630e-01
392.252,8.466671e-01
392.302,8.465650e-01
392.352,8.463968e-01
392.402,8.506293e-01
392.452,8.484528e-01
392.502,8.457545e-01
392.552,8.495722e-01
392.602,8.517332e-01
392.652,8.499967e-01
392.702,8.457707e-01
392.752,8.476195e-01
392.802,8.506690e-01
392.852,8.473749e-01
392.902,8.493558e-01
392.952,8.498983e-01
393.002,8.469196e-01
393.052,8.481797e-01
393.102,8.423431e-01
393.152,8.448104e-01
393.202,8.363325e-01
393.252,7.648162e-01
393.302,5.263305e-01
393.352,1.237505e-01
393.402,3.111908e-01
393.452,6.536931e-01
393.502,8.141008e-01
393.552,8.421353e-01
393.602,8.506666e-01
393.652,8.497380e-01
393.702,8.486635e-01
393.752,8.515611e-01
393.802,8.514595e-01
393.852,8.503855e-01
393.902,8.517752e-01
393.952,8.512229e-01
394.002,8.522778e-01
394.052,8.534050e-01
394.102,8.551628e-01
394.152,8.505230e-01
394.202,8.564413e-01
394.252,8.496381e-01
394.302,8.528707e-01
394.352,8.542922e-01
394.402,8.539240e-01
394.452,8.525356e-01
394.502,8.533959e-01
394.552,8.530605e-01
394.602,8.530458e-01
394.652,8.556528e-01
394.702,8.549594e-01
394.752,8.533123e-01
394.802,8.561806e-01
394.852,8.553139e-01
394.902,8.563235e-01
394.952,8.561549e-01
395.002,8.538041e-01
395.052,8.544071e-01
395.102,8.567868e-01
395.152,8.566950e-01
395.202,8.557565e-01
395.252,8.561344e-01
395.302,8.582617e-01
395.352,8.552012e-01
395.402,8.572908e-01
395.452,8.561462e-01
395.502,8.562577e-01
395.552,8.586507e-01
395.602,8.583189e-01
395.652,8.584342e-01
395.702,8.594121e-01
395.752,8.573430e-01
395.802,8.586078e-01
395.852,8.570358e-01
395.902,8.582514e-01
395.952,8.575968e-01
396.002,8.581080e-01
396.052,8.590803e-01
396.102,8.567669e-01
396.152,8.618685e-01
396.202,8.566466e-01
396.252,8.563741e-01
396.302,8.605161e-01
396.352,8.599328e-01
396.402,8.596570e-01
396.452,8.596243e-01
396.502,8.584006e-01
396.552,8.566127e-01
396.602,8.576969e-01
396.652,8.539045e-01
396.702,8.351619e-01
396.752,7.134084e-01
396.802,4.125004e-01
396.852,9.825623e-02
396.902,4.866879e-01
396.952,7.519645e-01
397.002,8.414916e-01
397.052,8.576020e-01
397.102,8.595807e-01
397.152,8.590575e-01
397.202,8.596307e-01
397.252,8.612240e-01
397.302,8.586380e-01
397.352,8.589673e-01
397.402,8.603829e-01
397.452,8.614606e-01
397.502,8.625568e-01
397.552,8.647462e-01
397.602,8.638544e-01
397.652,8.622660e-01
397.702,8.626709e-01
397.752,8.611317e-01
397.802,8.629847e-01
397.852,8.626708e-01
397.902,8.638767e-01
397.952,8.620395e-01
398.002,8.645123e-01
398.052,8.664092e-01
398.102,8.637184e-01
398.152,8.647445e-01
398.202,8.653865e-01
398.252,8.636427e-01
398.302,8.648657e-01
398.352,8.646415e-01
398.402,8.649296e-01
398.452,8.635641e-01
398.502,8.650839e-01
398.552,8.660430e-01
398.602,8.678322e-01
398.652,8.671204e-01
398.702,8.693265e-01
398.752,8.644090e-01
398.802,8.673867e-01
398.852,8.663319e-01
398.902,8.699457e-01
398.952,8.648897e-01
399.002,8.649727e-01
399.052,8.655265e-01
399.102,8.630210e-01
399.152,8.659282e-01
399.202,8.656604e-01
399.252,8.673744e-01
399.302,8.678430e-01
399.352,8.706415e-01
399.402,8.691722e-01
399.452,8.666584e-01
399.502,8.662364e-01
399.552,8.687856e-01
399.602,8.657755e-01
399.652,8.713836e-01
399.702,8.703874e-01
399.752,8.676598e-01
399.802,8.656341e-01
399.852,8.710979e-01
399.902,8.686817e-01
399.952,8.711673e-01
400.003,8.663794e-01
400.053,8.682438e-01
400.103,8.694298e-01
400.153,8.696372e-01
400.203,8.689073e-01
400.253,8.709082e-01
400.303,8.681015e-01
400.353,8.698456e-01
400.403,8.704370e-01
400.453,8.712573e-01
400.503,8.717348e-01
400.553,8.686715e-01
400.603,8.680920e-01
400.653,8.731229e-01
400.703,8.716100e-01
400.753,8.698606e-01
400.803,8.740012e-01
400.853,8.716332e-01
400.903,8.736206e-01
400.953,8.718158e-01
401.003,8.754245e-01
401.053,8.750254e-01
401.103,8.716630e-01
401.153,8.739249e-01
401.203,8.734888e-01
401.253,8.748837e-01
401.303,8.709440e-01
401.353,8.739580e-01
401.403,8.747407e-01
401.453,8.699543e-01
401.503,8.710911e-01
401.553,8.697278e-01
401.603,8.729509e-01
401.653,8.748071e-01
401.703,8.763105e-01
401.753,8.739465e-01
401.803,8.767953e-01
401.853,8.716676e-01
401.903,8.712334e-01
401.953,8.742459e-01
402.003,8.751460e-01
402.053,8.745482e-01
402.103,8.711195e-01
402.153,8.747115e-01
402.203,8.727154e-01
402.253,8.763011e-01
402.303,8.759014e-01
402.353,8.737446e-01
402.403,8.746208e-01
402.453,8.737959e-01
402.503,8.756713e-01
402.553,8.775843e-01
402.603,8.743140e-01
402.653,8.770541e-01
402.703,8.753712e-01
402.753,8.750403e-01
402.803,8.763718e-01
402.853,8.748735e-01
402.903,8.758469e-01
402.953,8.748458e-01
403.003,8.805219e-01
403.053,8.772658e-01
403.103,8.761045e-01
403.153,8.778359e-01
403.203,8.773911e-01
403.253,8.773279e-01
403.303,8.789213e-01
403.353,8.793001e-01
403.403,8.771648e-01
403.453,8.772112e-01
403.503,8.778649e-01
403.553,8.744287e-01
403.603,8.759348e-01
403.653,8.811229e-01
403.703,8.817344e-01
403.753,8.785264e-01
403.803,8.800974e-01
403.853,8.797486e-01
403.903,8.847309e-01
403.953,8.813970e-01
404.003,8.793097e-01
404.053,8.779542e-01
404.103,8.769002e-01
404.153,8.801624e-01
404.203,8.785299e-01
404.253,8.773795e-01
404.303,8.787040e-01
404.353,8.777709e-01
404.403,8.818256e-01
404.453,8.708504e-01
404.503,8.023754e-01
404.553,6.343762e-01
404.603,6.076864e-01
404.653,7.862368e-01
404.703,8.692772e-01
404.753,8.803974e-01
404.803,8.789388e-01
404.853,8.808787e-01
404.903,8.799758e-01
404.953,8.793194e-01
405.003,8.835929e-01
405.053,8.855067e-01
405.103,8.798345e-01
405.153,8.834508e-01
405.203,8.814568e-01
405.253,8.818887e-01
405.303,8.818425e-01
405.353,8.814998e-01
405.403,8.832465e-01
405.453,8.818263e-01
405.503,8.839042e-01
405.553,8.834687e-01
405.603,8.832654e-01
405.653,8.822129e-01
405.703,8.829264e-01
405.753,8.854100e-01
405.803,8.850881e-01
405.853,8.826008e-01
405.903,8.846326e-01
405.953,8.859130e-01
406.003,8.817563e-01
406.053,8.857980e-01
406.103,8.837897e-01
406.153,8.860983e-01
406.203,8.838625e-01
406.253,8.821434e-01
406.303,8.825822e-01
406.353,8.856746e-01
406.403,8.861744e-01
406.453,8.842369e-01
406.503,8.870951e-01
406.553,8.831435e-01
406.603,8.860951e-01
406.653,8.841896e-01
406.703,8.853047e-01
406.753,8.866682e-01
406.803,8.851820e-01
406.853,8.861494e-01
406.903,8.887400e-01
406.953,8.860547e-01
407.003,8.886842e-01
407.053,8.853196e-01
407.103,8.883877e-01
407.153,8.901291e-01
407.203,8.833046e-01
407.253,8.864003e-01
407.303,8.889624e-01
407.353,8.876992e-01
407.403,8.888412e-01
407.453,8.872308e-01
407.503,8.885795e-01
407.553,8.882706e-01
407.603,8.907443e-01
407.653,8.892423e-01
407.703,8.895114e-01
407.753,8.882998e-01
407.803,8.882858e-01
407.853,8.885042e-01
407.903,8.900956e-01
407.953,8.887652e-01
408.004,8.901497e-01
408.054,8.934470e-01
408.104,8.914237e-01
408.154,8.894122e-01
408.204,8.922499e-01
408.254,8.895036e-01
408.304,8.867192e-01
408.354,8.886711e-01
408.404,8.872519e-01
408.454,8.900750e-01
408.504,8.908508e-01
408.554,8.939214e-01
408.604,8.916325e-01
408.654,8.907744e-01
408.704,8.927577e-01
408.754,8.874508e-01
408.804,8.919256e-01
408.854,8.929918e-01
408.904,8.890908e-01
408.954,8.938770e-01
409.004,8.925484e-01
409.054,8.913095e-01
409.104,8.932832e-01
409.154,8.963073e-01
409.204,8.926779e-01
409.254,8.928906e-01
409.304,8.917173e-01
409.354,8.911040e-01
409.404,8.941803e-01
409.454,8.912367e-01
409.504,8.929483e-01
409.554,8.920066e-01
409.604,8.937319e-01
409.654,8.934575e-01
409.704,8.946447e-01
409.754,8.916739e-01
409.804,8.914087e-01
409.854,8.876947e-01
409.904,8.808314e-01
409.954,8.617299e-01
410.004,8.196548e-01
410.054,7.483000e-01
410.104,6.634343e-01
410.154,5.609962e-01
410.204,5.798427e-01
410.254,6.828436e-01
410.304,7.639296e-01
410.354,8.273307e-01
410.404,8.644013e-01
410.454,8.877666e-01
410.504,8.928823e-01
410.554,8.937918e-01
410.604,8.951759e-01
410.654,8.930649e-01
410.704,8.997522e-01
410.754,8.958483e-01
410.804,8.960277e-01
410.854,8.973264e-01
410.904,8.970668e-01
410.954,8.967732e-01
411.004,8.951128e-01
411.054,8.975270e-01
411.104,9.002031e-01
411.154,8.993823e-01
411.204,8.999649e-01
411.254,8.963237e-01
411.304,8.955971e-01
411.354,8.972774e-01
411.404,8.977315e-01
411.454,8.997227e-01
411.504,8.948440e-01
411.554,9.007544e-01
411.604,8.978464e-01
411.654,8.974853e-01
411.704,8.965548e-01
411.754,8.955198e-01
411.804,9.000925e-01
411.854,8.988636e-01
411.904,8.965309e-01
411.954,8.966387e-01
412.004,8.984800e-01
412.054,9.022012e-01
412.104,8.988479e-01
412.154,8.967252e-01
412.204,8.991004e-01
412.254,8.991641e-01
412.304,8.949129e-01
412.354,8.997782e-01
412.404,8.995684e-01
412.454,9.013435e-01
412.504,9.035226e-01
412.554,9.023225e-01
412.604,8.999057e-01
412.654,8.984871e-01
412.704,9.051965e-01
412.754,9.007377e-01
412.804,9.007072e-01
412.854,9.006603e-01
412.904,9.010320e-01
412.954,9.002925e-01
413.004,8.991387e-01
413.054,8.960605e-01
413.104,8.650946e-01
413.154,7.318385e-01
413.204,5.234208e-01
413.254,7.188139e-01
413.304,8.596099e-01
413.354,8.997085e-01
413.404,8.962407e-01
413.454,9.036411e-01
413.504,9.042826e-01
413.554,8.985558e-01
413.604,9.018892e-01
413.654,9.020170e-01
413.704,9.003070e-01
413.754,9.015922e-01
413.804,9.011308e-01
413.854,9.064362e-01
413.904,9.050908e-01
413.954,9.058242e-01
414.004,9.049544e-01
414.054,9.017311e-01
414.104,9.029439e-01
414.154,9.048959e-01
414.204,9.019191e-01
414.254,9.055356e-01
414.304,9.039278e-01
414.354,9.038002e-01
414.404,9.058797e-01
414.454,9.055121e-01
414.504,9.041694e-01
414.554,9.070349e-01
414.604,9.030935e-01
414.654,9.062788e-01
414.704,9.063508e-01
414.754,9.048293e-01
414.804,9.060932e-01
414.854,9.033490e-01
414.904,9.074012e-01
414.954,9.055045e-01
415.004,9.050043e-01
415.054,9.079642e-01
415.104,9.048984e-01
415.154,9.037335e-01
415.204,9.035760e-01
415.254,9.076078e-01
415.304,9.042984e-01
415.354,9.099134e-01
415.404,9.030661e-01
415.454,9.100300e-01
415.504,9.074462e-01
415.554,9.069985e-01
415.604,9.062955e-01
415.654,9.081190e-01
415.704,9.074365e-01
415.754,9.096177e-01
415.804,9.079323e-01
415.854,9.081077e-01
415.904,9.072843e-01
415.954,9.079508e-01
416.005,9.087229e-01
416.055,9.051667e-01
416.105,9.059334e-01
416.155,9.098425e-01
416.205,9.089117e-01
416.255,9.083759e-01
416.305,9.088527e-01
416.355,9.095600e-01
416.405,9.080556e-01
416.455,9.077304e-01
416.505,9.096104e-01
416.555,9.075833e-01
416.605,9.102137e-01
416.655,9.064821e-01
416.705,9.115600e-01
416.755,9.106556e-01
416.805,9.103696e-01
416.855,9.118001e-01
416.905,9.131510e-01
416.955,9.120737e-01
417.005,9.069830e-01
417.055,9.081122e-01
417.105,9.094116e-01
417.155,9.107042e-01
417.205,9.117068e-01
417.255,9.095487e-01
417.305,9.113180e-01
417.355,9.097080e-01
417.405,9.100767e-01
417.455,9.087338e-01
417.505,9.097210e-01
417.555,9.090459e-01
417.605,9.098368e-01
417.655,9.136432e-01
417.705,9.100962e-01
417.755,9.167341e-01
417.805,9.129381e-01
417.855,9.124804e-01
417.905,9.106818e-01
417.955,9.136302e-01
418.005,9.114059e-01
418.055,9.127827e-01
418.105,9.173363e-01
418.155,9.125906e-01
418.205,9.149663e-01
418.255,9.116855e-01
418.305,9.130060e-01
418.355,9.164033e-01
418.405,9.121219e-01
418.455,9.166741e-01
418.505,9.147500e-01
418.555,9.125199e-01
418.605,9.147894e-01
418.655,9.154911e-01
418.705,9.149211e-01
418.755,9.109717e-01
418.805,9.125465e-01
418.855,9.134172e-01
418.905,9.136511e-01
418.955,9.146591e-01
419.005,9.119563e-01
419.055,8.800125e-01
419.105,7.337878e-01
419.155,6.090603e-01
419.205,8.238361e-01
419.255,9.069251e-01
419.305,9.152959e-01
419.355,9.154084e-01
419.405,9.148016e-01
419.455,9.121375e-01
419.505,9.161565e-01
419.555,9.159123e-01
419.605,9.161732e-01
419.655,9.134699e-01
419.705,9.139530e-01
419.755,9.179825e-01
419.805,9.160964e-01
419.855,9.175309e-01
419.905,9.164450e-01
419.955,9.165570e-01
420.005,9.183307e-01
420.055,9.157715e-01
420.105,9.170000e-01
420.155,9.160815e-01
420.205,9.162371e-01
420.255,9.165712e-01
420.305,9.176496e-01
420.355,9.164670e-01
420.405,9.197525e-01
420.455,9.159092e-01
420.505,9.173101e-01
420.555,9.169477e-01
420.605,9.205126e-01
420.655,9.183184e-01
420.705,9.199529e-01
420.755,9.154309e-01
420.805,9.187494e-01
420.855,9.199927e-01
420.905,9.186092e-01
420.955,9.205145e-01
421.005,9.177052e-01
421.055,9.213434e-01
421.105,9.230759e-01
421.155,9.182814e-01
421.205,9.182258e-01
421.255,9.218121e-01
421.305,9.221393e-01
421.355,9.183680e-01
421.405,9.186498e-01
421.455,9.189962e-01
421.505,9.171323e-01
421.555,9.180044e-01
421.605,9.179342e-01
421.655,9.184540e-01
421.705,9.198852e-01
421.755,9.204594e-01
421.805,9.229572e-01
421.855,9.183373e-01
421.905,9.220508e-01
421.955,9.199021e-01
422.005,9.202514e-01
422.055,9.216176e-01
422.105,9.183231e-01
422.155,9.210822e-01
422.205,9.206356e-01
422.255,9.211286e-01
422.305,9.205357e-01
422.355,9.239136e-01
422.405,9.156923e-01
422.455,9.049940e-01
422.505,8.687899e-01
422.555,7.858071e-01
422.605,6.558283e-01
422.655,4.959631e-01
422.705,5.469961e-01
422.755,6.976782e-01
422.805,8.157990e-01
422.855,8.860102e-01
422.905,9.106854e-01
422.955,9.203104e-01
423.005,9.213493e-01
423.055,9.188068e-01
423.105,9.248276e-01
423.155,9.255719e-01
423.205,9.213637e-01
423.255,9.219802e-01
423.305,9.234012e-01
423.355,9.236520e-01
423.405,9.243991e-01
423.455,9.270344e-01
423.505,9.231273e-01
423.555,9.221057e-01
423.605,9.211538e-01
423.655,9.224694e-01
423.705,9.238738e-01
423.755,9.273641e-01
423.805,9.232014e-01
423.855,9.246806e-01
423.905,9.243440e-01
423.955,9.266778e-01
424.006,9.292583e-01
424.056,9.237079e-01
424.106,9.238877e-01
424.156,9.268271e-01
424.206,9.262590e-01
424.256,9.285157e-01
424.306,9.262803e-01
424.356,9.246353e-01
424.406,9.264934e-01
424.456,9.275521e-01
424.506,9.271180e-01
424.556,9.266372e-01
424.606,9.277718e-01
424.656,9.280604e-01
424.706,9.285530e-01
424.756,9.272927e-01
424.806,9.258793e-01
424.856,9.265581e-01
424.906,9.286189e-01
424.956,9.249669e-01
425.006,9.272607e-01
425.056,9.259453e-01
425.106,9.268241e-01
425.156,9.292371e-01
425.206,9.273177e-01
425.256,9.271457e-01
425.306,9.246339e-01
425.356,9.286353e-01
425.406,9.285442e-01
425.456,9.314551e-01
425.506,9.269670e-01
425.556,9.280399e-01
425.606,9.281912e-01
425.656,9.307507e-01
425.706,9.277416e-01
425.756,9.285311e-01
425.806,9.292364e-01
425.856,9.285490e-01
425.906,9.274682e-01
425.956,9.287518e-01
426.006,9.304794e-01
426.056,9.266734e-01
426.106,9.289209e-01
426.156,9.274673e-01
426.206,9.310817e-01
426.256,9.261255e-01
426.306,9.280105e-01
426.356,9.298435e-01
426.406,9.321454e-01
426.456,9.292071e-01
426.506,9.283904e-01
426.556,9.330127e-01
426.606,9.269164e-01
426.656,9.256130e-01
426.706,9.306125e-01
426.756,9.289532e-01
426.806,9.280800e-01
426.856,9.313896e-01
426.906,9.306179e-01
426.956,9.292071e-01
427.006,9.279664e-01
427.056,9.320643e-01
427.106,9.317427e-01
427.156,9.304399e-01
427.206,9.341535e-01
427.256,9.288156e-01
427.306,9.280589e-01
427.356,9.297022e-01
427.406,9.309968e-01
427.456,9.316260e-01
427.506,9.308145e-01
427.556,9.320104e-01
427.606,9.291138e-01
427.656,9.342257e-01
427.706,9.314732e-01
427.756,9.337985e-01
427.806,9.324454e-01
427.856,9.327479e-01
427.906,9.330485e-01
427.956,9.329107e-01
428.006,9.333638e-01
428.056,9.347331e-01
428.106,9.327104e-01
428.156,9.337550e-01
428.206,9.323541e-01
428.256,9.352961e-01
428.306,9.314365e-01
428.356,9.361460e-01
428.406,9.327989e-01
428.456,9.302916e-01
428.506,9.332874e-01
428.556,9.318641e-01
428.606,9.347906e-01
428.656,9.320894e-01
428.706,9.325602e-01
428.756,9.299506e-01
428.806,9.327183e-01
428.856,9.291207e-01
428.906,9.307722e-01
428.956,9.352328e-01
429.006,9.353620e-01
429.056,9.347698e-01
429.106,9.322482e-01
429.156,9.340438e-01
429.206,9.342030e-01
429.256,9.321202e-01
429.306,9.371669e-01
429.356,9.360674e-01
429.406,9.340819e-01
429.456,9.346083e-01
429.506,9.350058e-01
429.556,9.308516e-01
429.606,9.342501e-01
429.656,9.334703e-01
429.706,9.328910e-01
429.756,9.342359e-01
429.806,9.380901e-01
429.856,9.358501e-01
429.906,9.334339e-01
429.956,9.352577e-01
430.006,9.356769e-01
430.056,9.283340e-01
430.106,8.965006e-01
430.156,8.079605e-01
430.206,6.628567e-01
430.256,5.168955e-01
430.306,6.846907e-01
430.356,8.255360e-01
430.406,9.047549e-01
430.456,9.270078e-01
430.506,9.350647e-01
430.556,9.308962e-01
430.606,9.180479e-01
430.656,8.534471e-01
430.706,7.315631e-01
430.756,5.569374e-01
430.806,6.117406e-01
430.856,7.715733e-01
430.906,8.791094e-01
430.956,9.240038e-01
431.006,9.348457e-01
431.056,9.347969e-01
431.106,9.364149e-01
431.156,9.408268e-01
431.206,9.403152e-01
431.256,9.381083e-01
431.306,9.375406e-01
431.356,9.378501e-01
431.406,9.389149e-01
431.456,9.359725e-01
431.506,9.375256e-01
431.556,9.349877e-01
431.606,9.389713e-01
431.656,9.395353e-01
431.706,9.375078e-01
431.756,9.414588e-01
431.806,9.362889e-01
431.856,9.359219e-01
431.906,9.391690e-01
431.956,9.407847e-01
432.007,9.420450e-01
432.057,9.380770e-01
432.107,9.410086e-01
432.157,9.389378e-01
432.207,9.386874e-01
432.257,9.406305e-01
432.307,9.400804e-01
432.357,9.356187e-01
432.407,9.400043e-01
432.457,9.246201e-01
432.507,8.309769e-01
432.557,6.359916e-01
432.607,6.870304e-01
432.657,8.633821e-01
432.707,9.281486e-01
432.757,9.370823e-01
432.807,9.392665e-01
432.857,9.418807e-01
432.907,9.409273e-01
432.957,9.393686e-01
433.007,9.416346e-01
433.057,9.349162e-01
433.107,9.425008e-01
433.157,9.371163e-01
433.207,9.397358e-01
433.257,9.383206e-01
433.307,9.379773e-01
433.357,9.425521e-01
433.407,9.394031e-01
433.457,9.407684e-01
433.507,9.396740e-01
433.557,9.397978e-01
433.607,9.368623e-01
433.657,9.290042e-01
433.707,9.213944e-01
433.757,8.953537e-01
433.807,8.533923e-01
433.857,7.954341e-01
433.907,7.209941e-01
433.957,6.311381e-01
434.007,5.278891e-01
434.057,4.754223e-01
434.107,5.696141e-01
434.157,6.688966e-01
434.207,7.516719e-01
434.257,8.231614e-01
434.307,8.766384e-01
434.357,9.085073e-01
434.407,9.259543e-01
434.457,9.350257e-01
434.507,9.392275e-01
434.557,9.409844e-01
434.607,9.432001e-01
434.657,9.423601e-01
434.707,9.439454e-01
434.757,9.426555e-01
434.807,9.431655e-01
434.857,9.394338e-01
434.907,9.451003e-01
434.957,9.441795e-01
435.007,9.455523e-01
435.057,9.383358e-01
435.107,9.478719e-01
435.157,9.437863e-01
435.207,9.462579e-01
435.257,9.423124e-01
435.307,9.455411e-01
435.357,9.424982e-01
435.407,9.434112e-01
435.457,9.483052e-01
435.507,9.444258e-01
435.557,9.452924e-01
435.607,9.466198e-01
435.657,9.460048e-01
435.707,9.454434e-01
435.757,9.459392e-01
435.807,9.498824e-01
435.857,9.453175e-01
435.907,9.458941e-01
435.957,9.475874e-01
436.007,9.477773e-01
436.057,9.480169e-01
436.107,9.470645e-01
436.157,9.437779e-01
436.207,9.491144e-01
436.257,9.439378e-01
